Date,Close,High,Low,Open,Volume,Dividends,Stock Splits,Symbol
2025-07-28,192.41,193.88,190.67,193.48,38139500,0.0,0.0,GOOGL
2025-07-25,193.01,194.16,191.09,191.81,39785900,0.0,0.0,GOOGL
2025-07-24,192.0,197.77,190.83,196.85,74881700,0.0,0.0,GOOGL
2025-07-23,190.06,192.36,189.01,191.33,58681900,0.0,0.0,GOOGL
2025-07-22,191.17,191.48,187.29,191.33,44660200,0.0,0.0,GOOGL
2025-07-21,189.93,190.12,185.98,186.08,45803100,0.0,0.0,GOOGL
2025-07-18,184.89,186.25,183.55,185.23,34014500,0.0,0.0,GOOGL
2025-07-17,183.42,183.9,180.32,181.98,31992600,0.0,0.0,GOOGL
2025-07-16,182.81,184.17,181.87,183.08,33104200,0.0,0.0,GOOGL
2025-07-15,181.84,184.06,181.44,182.65,33448300,0.0,0.0,GOOGL
2025-07-14,181.4,183.51,179.52,180.85,32536600,0.0,0.0,GOOGL
2025-07-11,180.03,181.27,176.32,176.63,34282900,0.0,0.0,GOOGL
2025-07-10,177.46,178.27,174.22,175.47,29252400,0.0,0.0,GOOGL
2025-07-09,176.46,179.28,172.62,175.09,43025600,0.0,0.0,GOOGL
2025-07-08,174.2,177.79,172.66,177.69,40442500,0.0,0.0,GOOGL
2025-07-07,176.63,179.14,175.52,178.9,34175600,0.0,0.0,GOOGL
2025-07-03,179.37,179.51,176.89,178.34,21689700,0.0,0.0,GOOGL
2025-07-02,178.48,178.7,174.91,175.38,29128900,0.0,0.0,GOOGL
2025-07-01,175.68,175.93,173.37,175.58,35904500,0.0,0.0,GOOGL
2025-06-30,176.07,181.07,174.42,180.62,63378900,0.0,0.0,GOOGL
2025-06-27,178.37,178.52,171.58,173.38,108140200,0.0,0.0,GOOGL
2025-06-26,173.38,173.53,169.79,172.28,31796700,0.0,0.0,GOOGL
2025-06-25,170.53,172.21,167.4,167.48,35479000,0.0,0.0,GOOGL
2025-06-24,166.62,168.07,165.98,166.77,40524300,0.0,0.0,GOOGL
2025-06-23,165.04,167.19,161.86,166.12,57671000,0.0,0.0,GOOGL
2025-06-20,166.49,174.18,165.31,173.79,75659900,0.0,0.0,GOOGL
2025-06-18,173.17,176.4,173.05,175.85,28707500,0.0,0.0,GOOGL
2025-06-17,175.79,177.2,174.42,175.54,24973000,0.0,0.0,GOOGL
2025-06-16,176.61,176.78,174.49,174.57,27389200,0.0,0.0,GOOGL
2025-06-13,174.51,176.97,172.24,172.29,27663100,0.0,0.0,GOOGL
2025-06-12,175.54,176.56,174.59,176.02,20941900,0.0,0.0,GOOGL
2025-06-11,177.19,180.21,176.59,179.61,31646800,0.0,0.0,GOOGL
